"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"174","WL020.00",2,7.1,4.98042271188527,39.72,45,2,8.4902059108894,2.85799904191457,39.72,45
"175","WL020.50",2,15,6.85882410338763,95.1999999999999,47,2,16.3880961215579,4.14551223968763,95.1999999999999,47
"176","WL021.00",2,0,2.75152878598135,10.2,30,0.625850824552079,1.39549719861179,1.39747836673044,10.2,30
"177","WL022.00",2,1.2,2.70583497262441,7.37,30,1.31903463061169,2.5843273940852,1.49834940823957,7.37,30
"178","WL022.50",2,8.5,5.08628683717303,27.4,55,2,9.88997883079093,2.95725598872895,27.4,55
"179","WL023.00",2,0,2.04674778399355,2,30,0.614862882105844,0.0364541267360287,0.821214836626701,2,30
"180","WL025.00",2,0,2.35350862038522,4,30,0.626057348050285,1.38266693223811,1.1158867997827,4,30
"181","WL026.00",2,2,2.88735073679098,6.50000000000001,30,0.639705960548884,3.38703737139158,1.53524161835922,6.50000000000001,30
"182","WL027.00",2,0,2.38308776316329,4,30,0.617957007654159,1.39801703120499,1.11467733177441,4,30
"183","WL028.00",2,0,2.32049402097921,4,30,0.627914158649511,1.38348555903774,1.02300070499865,4,30
"184","WL030.00",2,2,3.03029211361666,6.40000000000001,30,0.630634361139751,3.38494979087765,1.5532205784917,6.40000000000001,30
"185","WL031.00",2,0,2.47197502383176,4.2,30,0.620682631474553,1.39211923257539,1.16385413379688,4.2,30
"186","WL033.00",2,0,2.32156117700545,4.2,30,0.630765092150323,1.38671295013505,1.14270646922936,4.2,30
"187","WL034.50",2,0,2.51474076556741,7.67000000000001,30,0.632203283148689,1.39571724761812,1.18648431207304,7.67000000000001,30
"188","WL035.00",2,0,2.73244721718993,7.2,45,0.64065403215603,1.38080146172721,1.49480600306071,7.2,45
"189","WL036.10",2,0,2.88592781701405,10.65,46,0.623053742134928,1.39421369269229,1.40195062738082,10.65,46
"190","WL036.70",2,2,3.06754112780029,9.1,50,1.32296267577199,3.39697533789832,1.68986960401828,9.1,50
"191","WL036.80",2,5.825,4.35319712088118,32.6,30,1.31816743000364,7.216921709456,2.39718644047405,32.6,30
"192","WL036.90",2,6.325,4.47277472927005,36.4,30,0.623585832976773,7.72219969830283,2.35883905109105,36.4,30
"193","WL037.00",2,4,3.56112171308996,12.6,33,0.636433480347856,5.38545507522341,1.94009571308121,12.6,33
"194","WL037.50",3,6,4.00889395551407,12.9,32,3,7.37543974801251,2.6692332399183,12.9,32
"195","WL038.00",2,2,2.81048259751617,6,32,0.645019718185354,3.38149275595038,1.50462048805071,6,32
"196","WL040.00",2,1,3.34584234789181,16,31,0.622333959052743,2.3892944097908,1.61814136591519,16,31
"197","WL042.00",4,6.825,4.82221238139251,17,26,4,8.20630301468266,3.32788432524629,17,26
"198","WL042.10",2,4,3.99832135576779,28.3,48,2,5.38382133253407,2.38292361591647,28.3,48
"199","WL043.10",2,0.5,2.80442964800207,5.95,32,1.32366452401161,1.88958705454685,1.54956441747449,5.95,32
"200","WL044.00",2,0,2.65591106993858,7.6,33,0.622810815778782,1.39623056069045,1.20435703975707,7.6,33
"201","WL044.40",2,0,2.96345760588213,11.9,52,0.637786943297238,1.3869886857575,1.53694234000665,11.9,52
"202","WL046.00",2,0.4,3.16001086889247,7.3,36,0.629049124085621,1.79014158725021,1.68571529434947,7.3,36
"203","WL046.50",2,0,2.42734485980792,4,31,2,1.39129616924526,1.41538121163585,4,31
"204","WL047.00",2,4,4.00066410784194,16.8,35,2,5.38612316583476,2.24901943190595,16.8,35
"205","WL048.00",2,3,3.39819916151246,16.4,39,0.643621792143788,4.38816155992216,1.80003140452013,16.4,39
"206","WL048.50",2,0,2.40185963571993,4,32,0.629735061520766,1.39727877448565,1.22790785294048,4,32
"207","WL049.00",2,0,2.35039273657167,4,32,0.621760972326899,1.39761161454829,0.999168491200182,4,32
"208","WL050.00",2,0,2.34327916399049,3.64,30,1.31648156111684,1.38160615490025,1.29841509820271,3.64,30
"209","WL051.00",2,0,2.48470960088934,4.40000000000001,30,0.62541181389356,1.39681115843866,1.12581766563159,4.40000000000001,30
"210","WL052.00",2,2,2.86662802347319,6,30,0.631914745176499,3.38673724985116,1.46887606779429,6,30
"211","WL053.00",2,0,2.70832371023547,4,31,0.624739930336995,1.38868580035832,1.219386620221,4,31
"212","WL054.00",2,0,2.31235870014674,3.64,30,0.623296423987605,1.39350746730218,1.007868353115,3.64,30
"213","WL057.00",2,0,2.40605652118997,2,31,0.622409347892239,1.39184223651533,1.07604446789771,2,31
"214","WL060.00",2,0,2.55866736268418,6,30,0.613492977810829,1.0556330164798,1.0644827918527,6,30
"215","WL063.00",2,0,2.51008772375316,4,31,0.644597117932581,1.39963003096812,1.25675963738388,4,31
"216","WL066.00",2,0,2.35206956531936,4,30,0.609843300680162,0.0237832917531359,0.907818262419088,4,30
"217","WL068.00",2,2,3.00242168022416,6,31,0.630103249017831,3.38466391274606,1.51057317351604,6,31
"218","WL070.00",2,1.5,2.74476250656222,8,30,0.629590897967422,2.89590966808457,1.45100454045948,8,30
"219","WL071.00",2,0,3.12180291564814,9.68,29,0.630899362870202,1.38905564772562,1.44593797044807,9.68,29
"220","WL073.00",2,8.75,4.87264470858617,28.4,30,2,10.1378793896583,2.80555560849935,28.4,30
"221","WL075.00",2,3.125,4.69748010193915,99.6,30,2,4.50505638784512,2.81284173328083,99.6,30
"222","WL076.00",2,3,3.78967160808177,10,31,2,4.38910618503599,2.13708664874356,10,31
"223","WL077.00",2,9,4.92052385960435,25.2000000000001,48,2,10.388450262515,2.99518035130174,25.2000000000001,48
"224","WL079.00",2,0,2.90457274437734,6.60000000000001,30,0.627167860387567,1.38797584870182,1.37832788607152,6.60000000000001,30
"225","WL081.00",2,6.825,4.75250405775889,29.19,30,2,8.20891503051718,2.72959809740016,29.19,30
"226","WL085.00",2,21.75,5.63088976790885,36.4,30,2,23.1235542614986,3.65967974692731,36.4,30
"227","WL087.00",2,3.125,4.5307912201222,44.8000000000001,30,1.31383130949278,4.51540457500759,2.49316825105225,44.8000000000001,30
"228","WL087.20",2,3.125,4.22897034356749,19.8000000000001,30,0.627893076018256,4.50965934012954,2.16611533579461,19.8000000000001,30
"229","WL089.00",2,1.2,3.04828698896245,10.4,30,0.621265698422381,2.59781889434891,1.49012813149667,10.4,30
"230","WL095.50",2,1.5,3.09399818534946,12.2,30,0.627188291399372,2.89426108828001,1.51218053480007,12.2,30
"231","WL096.00",2,6.825,4.4270835618771,21.2,42,2,8.19822579534716,2.60410072773014,21.2,42
"232","WL097.00",2,0,2.08820480691501,2,30,0.610369523259924,0.0222826712220648,0.742684200947656,2,30
"233","WL098.00",2,2,3.53934758364536,12.7,32,0.632380914427552,3.39289153831626,1.87851306379045,12.7,32
"234","WL099.00",2,1.5,2.89424949821836,8,30,0.623320648081343,2.90637947968141,1.40961122847667,8,30
"235","WL101.00",2,4,4.23199401777557,24.4,33,2,5.38506312605369,2.46794761816646,24.4,33
"236","WL101.80",2,1.5,3.43416206129524,20.4,30,0.629430738452681,2.88597953485005,1.69110399129064,20.4,30
"237","WL102.00",2,1.2,2.85557990022338,8.11,30,0.630534002933835,2.58641647263683,1.35367672600872,8.11,30
"238","WL103.00",2,0,2.38553340266263,2.40000000000001,30,0.619987752705397,0.0251647681666961,0.929113026593422,2.40000000000001,30
